scope,level,n_docs,mean_distinct_dois,trivial_share,z_vs_shuffle,coherence
all,15,22082,1.77,0.639,16.423,0.91
all,14,13725,2.239,0.656,14.762,0.898
all,13,10359,4.205,0.175,21.174,0.949
all,12,1960,4.62,0.126,6.272,0.989
all,11,3856,8.801,0.032,20.506,0.99
all,10,3874,8.811,0.033,18.001,0.965
cement_binders,13,2179,4.599,0.149,31.954,0.979
soil_microbiome,13,2485,3.458,0.246,10.964,0.98
carbon_capture,13,1444,3.41,0.153,10.988,0.982
tech_forecasting,13,1576,3.435,0.197,13.68,0.975
solar_leo,13,1552,4.694,0.124,33.545,0.98
ner,13,1123,6.521,0.137,22.77,0.984
soil_microbiome,12,298,4.208,0.144,4.374,0.976
solar_leo,12,293,4.962,0.116,15.697,0.978
cement_binders,12,405,4.721,0.151,6.036,0.977
ner,12,270,5.904,0.111,6.089,0.976
carbon_capture,12,374,4.417,0.112,5.599,0.986
tech_forecasting,12,320,3.719,0.113,4.512,0.979
carbon_capture,11,491,7.874,0.035,11.736,0.988
cement_binders,11,829,9.647,0.025,16.793,0.988
tech_forecasting,11,470,8.004,0.04,10.667,0.986
soil_microbiome,11,1013,6.685,0.054,10.502,0.993
solar_leo,11,552,10.486,0.005,29.241,0.984
ner,11,501,11.479,0.014,20.727,0.988
carbon_capture,10,496,7.863,0.036,10.697,0.958
tech_forecasting,10,472,8.047,0.042,14.192,0.962
soil_microbiome,10,1016,6.705,0.055,12.225,0.963
cement_binders,10,833,9.636,0.026,21.272,0.956
solar_leo,10,554,10.52,0.005,23.974,0.958
ner,10,503,11.467,0.016,15.991,0.959
