word1,word2,pos,simlex_score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
old,new,A,1.58,0.9841,1.0,0,0,0.0,0,0,0,,7,8
smart,intelligent,A,9.2,0.9673,0.9928,4,7,0.094595,1,1,1,,9,7
hard,difficult,A,8.77,0.9902,0.9512,0,3,0.06,0,0,0,,11,6
happy,cheerful,A,9.55,0.9507,0.9915,0,2,0.036364,0,0,0,,8,8
hard,easy,A,0.95,0.9902,0.9636,0,0,0.0,0,0,0,,11,9
fast,rapid,A,8.75,0.9767,0.9479,0,4,0.064516,0,0,0,,8,7
happy,glad,A,9.17,0.9507,0.9407,1,7,0.142857,0,0,0,,8,8
short,long,A,1.23,0.9453,0.9753,0,0,0.0,0,0,0,,8,6
stupid,dumb,A,9.58,1.0,0.9569,4,11,0.192982,0,0,0,,4,8
weird,strange,A,8.93,0.963,0.9708,11,20,0.714286,0,0,0,,7,7
wide,narrow,A,1.03,0.9821,0.9607,0,3,0.043478,0,1,1,13,10,8
bad,awful,A,8.42,0.9225,0.9233,0,3,0.053571,0,0,0,,6,7
easy,difficult,A,0.58,0.9636,0.9512,0,0,0.0,0,0,0,,9,6
bad,terrible,A,7.78,0.9225,0.9705,2,5,0.106383,0,0,0,,6,5
hard,simple,A,1.38,0.9902,0.9535,0,0,0.0,0,0,0,,11,7
smart,dumb,A,0.55,0.9673,0.9569,0,1,0.010989,0,0,0,,9,8
insane,crazy,A,9.57,0.9822,0.9776,5,13,0.371429,0,0,0,,4,6
happy,mad,A,0.95,0.9507,0.9314,0,0,0.0,0,0,0,,8,5
large,huge,A,9.47,0.9567,0.9666,2,9,0.2,0,0,0,,8,6
hard,tough,A,8.05,0.9902,0.948,0,3,0.052632,0,0,0,,11,9
new,fresh,A,6.83,1.0,0.9742,0,0,0.0,0,0,0,,8,6
sharp,dull,A,0.6,0.9595,0.968,0,0,0.0,0,0,0,,5,8
quick,rapid,A,9.7,0.983,0.9479,0,0,0.0,0,0,0,,8,7
dumb,foolish,A,6.67,0.9569,0.9909,0,2,0.027778,0,0,0,,8,8
wonderful,terrific,A,8.63,0.959,0.9534,5,9,0.169811,0,0,0,,7,4
strange,odd,A,9.02,0.9708,0.9549,11,14,0.482759,0,0,0,,7,7
happy,angry,A,1.28,0.9507,0.9614,0,0,0.0,0,0,0,,8,10
narrow,broad,A,1.18,0.9607,0.9722,0,10,0.196078,0,0,0,,8,8
simple,easy,A,9.4,0.9535,0.9636,0,2,0.035088,0,0,0,,7,9
old,fresh,A,0.87,0.9841,0.9742,0,0,0.0,0,0,0,,7,6
apparent,obvious,A,8.47,0.9742,0.9721,10,13,0.448276,0,0,0,,5,4
inexpensive,cheap,A,8.72,0.9548,0.9436,12,19,0.463415,0,1,1,,7,8
nice,generous,A,5.0,0.9365,0.9527,0,0,0.0,0,0,0,,9,7
weird,normal,A,0.72,0.963,0.9848,0,0,0.0,0,0,0,,7,8
weird,odd,A,9.2,0.963,0.9549,10,14,0.482759,0,0,0,,7,7
bad,immoral,A,7.62,0.9225,0.9601,0,0,0.0,0,0,0,,6,8
sad,funny,A,0.95,0.9492,0.9353,0,0,0.0,0,0,0,,6,9
wonderful,great,A,8.05,0.959,0.9932,0,7,0.109375,0,0,0,,7,7
guilty,ashamed,A,6.38,0.9515,0.9338,0,0,0.0,0,0,0,,6,5
beautiful,wonderful,A,6.5,1.0,0.959,0,0,0.0,0,0,0,,7,7
confident,sure,A,8.27,0.9733,0.9525,0,0,0.0,0,0,0,,8,9
dumb,dense,A,7.27,0.9569,0.9515,0,0,0.0,0,0,0,,8,7
large,big,A,9.55,0.9567,0.9877,3,11,0.25,0,0,0,,8,6
nice,cruel,A,0.67,0.9365,0.9147,0,0,0.0,0,0,0,,9,7
impatient,anxious,A,6.03,0.9573,0.9527,0,0,0.0,0,0,0,,9,5
big,broad,A,6.73,0.9877,0.9722,0,0,0.0,0,0,0,,6,8
strong,proud,A,3.17,0.949,0.9513,0,0,0.0,0,0,0,,7,7
unnecessary,necessary,A,0.63,0.9642,0.9904,10,18,0.5,0,1,1,12,8,9
restless,young,A,1.6,0.9098,1.0,0,0,0.0,0,0,0,,7,8
dumb,intelligent,A,0.75,0.9569,0.9928,0,0,0.0,0,0,0,,8,7
bad,great,A,0.35,0.9225,0.9932,0,2,0.030303,0,0,0,,6,7
difficult,simple,A,0.87,0.9512,0.9535,0,0,0.0,0,0,0,,6,7
necessary,important,A,7.37,0.9904,0.9418,0,0,0.0,0,0,0,,9,6
bad,terrific,A,0.65,0.9225,0.9534,0,0,0.0,0,0,0,,6,4
mad,glad,A,1.45,0.9314,0.9407,0,0,0.0,0,0,0,,5,8
honest,guilty,A,1.18,0.944,0.9515,0,0,0.0,0,0,0,,9,6
easy,tough,A,0.52,0.9636,0.948,0,0,0.0,0,0,0,,9,9
easy,flexible,A,4.1,0.9636,0.9921,0,0,0.0,0,0,0,,9,6
certain,sure,A,8.42,0.942,0.9525,6,16,0.307692,0,0,0,,7,9
essential,necessary,A,8.97,0.946,0.9904,4,10,0.27027,0,0,0,,6,9
different,normal,A,1.08,0.9555,0.9848,0,0,0.0,0,0,0,,8,8
sly,clever,A,7.25,0.9631,0.9651,0,0,0.0,0,0,0,,7,7
crucial,important,A,8.82,0.9751,0.9418,3,6,0.113208,0,0,0,,7,6
harsh,cruel,A,8.18,0.9446,0.9147,2,6,0.092308,1,0,1,,6,7
childish,foolish,A,5.5,0.9928,0.9909,0,0,0.0,0,0,0,,7,8
scarce,rare,A,9.17,0.9613,0.9656,1,3,0.048387,0,0,0,,9,5
friendly,generous,A,5.9,0.9514,0.9527,0,2,0.034483,0,0,0,,8,7
fragile,frigid,A,2.38,0.9685,0.9628,0,0,0.0,0,0,0,,7,7
long,narrow,A,3.57,0.9753,0.9607,0,0,0.0,0,0,0,,6,8
big,heavy,A,6.18,0.9877,0.9525,0,0,0.0,0,0,0,,6,6
rough,frigid,A,2.47,0.9465,0.9628,0,0,0.0,0,0,0,,10,7
bizarre,strange,A,9.37,0.9544,0.9708,6,17,0.435897,0,0,0,,10,7
illegal,immoral,A,4.28,0.9822,0.9601,0,0,0.0,0,0,0,,7,8
bad,guilty,A,4.2,0.9225,0.9515,0,0,0.0,0,0,0,,6,6
modern,ancient,A,0.73,0.9716,0.9743,0,0,0.0,0,0,0,,8,8
new,ancient,A,0.23,1.0,0.9743,0,0,0.0,0,0,0,,8,8
dull,funny,A,0.55,0.968,0.9353,0,0,0.0,0,0,0,,8,9
happy,young,A,2.0,0.9507,1.0,0,0,0.0,0,0,0,,8,8
easy,big,A,1.12,0.9636,0.9877,0,0,0.0,0,0,0,,9,6
great,awful,A,1.17,0.9932,0.9233,0,0,0.0,0,0,0,,7,7
tiny,huge,A,0.6,0.9489,0.9666,0,0,0.0,0,0,0,,9,6
polite,proper,A,7.63,0.9465,0.9499,0,0,0.0,0,0,0,,7,9
modest,ashamed,A,2.65,0.9895,0.9338,0,0,0.0,0,0,0,,6,5
exotic,rare,A,8.05,0.9928,0.9656,0,0,0.0,0,0,0,,11,5
dumb,clever,A,1.17,0.9569,0.9651,0,0,0.0,0,0,0,,8,7
delightful,wonderful,A,8.65,0.9884,0.959,0,0,0.0,0,0,0,,7,7
noticeable,obvious,A,8.48,0.9382,0.9721,0,0,0.0,0,0,0,,11,4
afraid,anxious,A,5.07,0.9829,0.9527,0,0,0.0,0,0,0,,7,5
formal,proper,A,8.02,0.976,0.9499,0,0,0.0,0,0,0,,7,9
dreary,dull,A,8.25,0.9506,0.968,0,0,0.0,0,0,0,,8,8
delightful,cheerful,A,6.58,0.9884,0.9915,0,2,0.040816,0,0,0,,7,8
unhappy,mad,A,5.95,0.9247,0.9314,0,0,0.0,0,0,0,,7,5
sad,terrible,A,5.4,0.9492,0.9705,0,0,0.0,0,0,0,,6,5
sick,crazy,A,3.57,0.9473,0.9776,0,0,0.0,0,0,0,,7,6
violent,angry,A,6.98,0.9505,0.9614,0,0,0.0,0,0,0,,8,10
laden,heavy,A,5.9,0.9519,0.9525,0,1,0.015385,0,0,0,,8,6
dirty,cheap,A,1.6,0.943,0.9436,0,0,0.0,0,0,0,,10,8
elastic,flexible,A,7.78,0.9905,0.9921,0,0,0.0,0,0,0,,9,6
hard,dense,A,5.9,0.9902,0.9515,0,0,0.0,0,0,0,,11,7
recent,new,A,7.05,0.9632,1.0,0,0,0.0,0,0,0,,8,8
bold,proud,A,3.97,0.9706,0.9513,0,0,0.0,0,0,0,,9,7
sly,strange,A,1.97,0.9631,0.9708,0,0,0.0,0,0,0,,7,7
strange,sly,A,2.07,0.9708,0.9631,0,0,0.0,0,0,0,,7,7
dumb,rare,A,0.48,0.9569,0.9656,0,0,0.0,0,0,0,,8,5
sly,tough,A,0.58,0.9631,0.948,0,0,0.0,0,0,0,,7,9
terrific,mad,A,0.4,0.9534,0.9314,0,0,0.0,0,0,0,,4,5
modest,flexible,A,0.98,0.9895,0.9921,0,0,0.0,0,0,0,,6,6
fresh,wide,A,0.4,0.9742,0.9821,0,0,0.0,0,0,0,,6,10
huge,dumb,A,0.48,0.9666,0.9569,0,0,0.0,0,0,0,,6,8
large,flexible,A,0.48,0.9567,0.9921,0,0,0.0,0,0,0,,8,6
