word1,word2,score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
admission,ticket,7.69,0.929,0.9275,0,0,0.0,0,0,0,,8,8
alcohol,chemistry,5.54,1.0,0.947,0,0,0.0,0,0,0,,9,12
announcement,effort,2.75,0.9334,0.9279,0,0,0.0,0,0,0,,7,7
announcement,production,3.38,0.9334,1.0,0,0,0.0,0,0,0,,7,7
announcement,warning,6.0,0.9334,0.9316,0,0,0.0,0,0,0,,7,7
arafat,peace,6.73,0.8258,0.9406,0,0,0.0,0,0,0,,2,9
arafat,terror,7.65,0.8258,0.9481,0,0,0.0,0,0,0,,2,7
architecture,century,3.78,0.9523,0.9673,0,0,0.0,0,0,0,,10,9
arrangement,accommodation,5.41,0.946,0.9662,0,0,0.0,0,0,0,,7,8
arrival,hotel,6.0,0.9422,0.9284,0,0,0.0,0,0,0,,9,12
atmosphere,landscape,3.69,0.9913,0.9486,0,0,0.0,0,0,0,,6,9
attempt,peace,4.25,0.9403,0.9406,0,0,0.0,0,0,0,,8,9
baby,mother,7.85,0.9256,1.0,0,0,0.0,0,0,0,,8,8
bank,money,8.12,0.9346,1.0,0,0,0.0,0,0,0,,11,7
baseball,season,5.97,0.9485,0.9348,0,0,0.0,0,0,0,,10,9
bed,closet,6.72,0.9806,0.9427,0,0,0.0,0,0,0,,7,8
benchmark,index,4.25,0.934,0.9718,0,0,0.0,0,0,0,,9,13
board,recommendation,4.47,0.9387,0.9261,0,0,0.0,0,0,0,,11,5
book,library,7.46,1.0,0.9815,0,0,0.0,0,0,0,,10,8
book,paper,7.46,1.0,0.9499,0,0,0.0,0,0,0,,10,9
boxing,round,7.61,0.9485,0.9397,0,0,0.0,0,0,0,,8,7
brother,monk,6.27,0.9887,0.9529,0,0,0.0,0,0,0,,8,9
canyon,landscape,7.53,0.944,0.9486,0,0,0.0,0,0,0,,8,9
car,flight,4.94,0.9492,0.9761,0,0,0.0,0,0,0,,6,7
cemetery,woodland,2.08,0.9547,0.9416,0,0,0.0,0,0,0,,8,8
century,nation,3.16,0.9673,0.9304,0,0,0.0,0,0,0,,9,8
chance,credibility,3.88,0.9363,0.9552,0,0,0.0,0,0,0,,8,6
change,attitude,5.44,0.9519,0.9278,0,0,0.0,0,0,0,,9,7
