word1,word2,score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
aluminum,metal,7.83,0.9789,0.9877,0,0,0.0,0,0,0,,8,7
announcement,effort,2.75,0.9334,0.9279,0,0,0.0,0,0,0,,7,7
announcement,news,7.56,0.9334,0.9251,0,1,0.013514,0,0,0,,7,10
announcement,production,3.38,0.9334,1.0,0,0,0.0,0,0,0,,7,7
arafat,jackson,2.5,0.8258,0.8254,0,0,0.0,0,0,0,,2,7
architecture,century,3.78,0.9523,0.9673,0,0,0.0,0,0,0,,10,9
asylum,madhouse,8.87,0.9389,0.9042,0,1,0.011765,0,0,0,,10,7
atmosphere,landscape,3.69,0.9913,0.9486,0,0,0.0,0,0,0,,6,9
attempt,peace,4.25,0.9403,0.9406,0,0,0.0,0,0,0,,8,9
benchmark,index,4.25,0.934,0.9718,0,0,0.0,0,0,0,,9,13
bird,cock,7.1,0.9865,0.9145,0,0,0.0,0,0,0,,7,12
bird,crane,7.38,0.9865,0.9336,0,0,0.0,0,0,0,,7,9
bishop,rabbi,6.69,0.9556,0.9712,0,0,0.0,0,0,0,,6,9
board,recommendation,4.47,0.9387,0.9261,0,0,0.0,0,0,0,,11,5
boy,lad,8.83,0.9313,0.9534,0,3,0.06,1,1,1,,8,5
bread,butter,6.19,0.9503,0.9627,0,0,0.0,0,0,0,,8,10
calculation,computation,8.44,0.9309,0.9557,0,4,0.071429,0,0,0,,7,7
car,automobile,8.94,0.9492,0.9916,12,23,0.522727,0,0,0,,6,6
car,flight,4.94,0.9492,0.9761,0,0,0.0,0,0,0,,6,7
cell,phone,7.81,0.9539,0.9788,0,2,0.022727,0,0,0,,11,10
cemetery,woodland,2.08,0.9547,0.9416,0,0,0.0,0,0,0,,8,8
century,nation,3.16,0.9673,0.9304,0,0,0.0,0,0,0,,9,8
century,year,7.59,0.9673,0.9402,0,0,0.0,0,0,0,,9,7
championship,tournament,8.36,0.9456,0.9185,0,0,0.0,0,0,0,,9,11
chance,credibility,3.88,0.9363,0.9552,0,0,0.0,0,0,0,,8,6
chord,smile,0.54,0.9434,0.9496,0,0,0.0,0,0,0,,11,7
coast,forest,3.15,0.9635,0.9514,0,0,0.0,0,0,0,,8,5
coast,hill,4.38,0.9635,0.935,0,0,0.0,0,0,0,,8,4
coast,shore,9.1,0.9635,0.9669,0,0,0.0,0,0,0,,8,6
